host_super,room_score,room_guest_num,room_lag,host_id,room_bedroom_num,room_bathroom_num,host_info,room_value_rating,room_bed_num,host_member_since,host_response_rate,room_hosting_id,room_saved_to_wishlist_count,room_location,room_lng,room_price,room_amenity_num,host_response_time,room_title,host_name,room_home_tier,room_url,room_communication,room_guest_satisfaction_overall
True,5,2.0,30.65413766295678,83871898,1.0,1.0,,10,1.0,July 2016,100%,14022664,6814,10,104.08584316795434,76,21,within an hour,"藝净- 复古花,太古里旁高层花园电影套房",藝,1,https://www.airbnb.com/rooms/14022664?location=Chengdu%2C+Sichuan%2C+China,10,100
False,5,4.0,30.648015211503402,73718517,2.0,1.0,,10,2.0,May 2016,,22596419,187,10,104.09054476706858,44,15,,【海之影】❤️ 新房特惠/地铁2#东门大桥站河景两居/太古里背后/春熙路/IFS/市中心,小双,1,https://www.airbnb.com/rooms/22596419?location=Chengdu%2C+Sichuan%2C+China,10,96
False,,3.0,30.68274965606815,146244197,1.0,1.0,"一名金融从业者,酷爱旅行和运动。我的好友ShunYi经营着N+Coffee”和一家CrossFit健身馆“CrossFit N Plus”。
N+集聚了一群有情怀,懂生活的青年人
17年初我们在聊及关于民宿的想法上一拍即合
于是N+民宿诞生了",10,1.0,August 2017,100%,22392703,187,10,104.04515539407188,32,22,within an hour,[N+民宿] 131 近宽窄巷子/春熙路/太古里/一环核心区/超棒新房,Arnold,1,https://www.airbnb.com/rooms/22392703?location=Chengdu%2C+Sichuan%2C+China,10,100
False,,2.0,30.66374805497628,158546095,1.0,1.0,有生之年  欣喜相逢~,10,1.0,November 2017,100%,22403093,159,10,104.05049086590898,42,24,within an hour,新!【云  治】宽窄巷子地铁站/人民公园/市中心/武侯祠/天府广场/太古里/双地铁房,小婷婷妹儿,1,https://www.airbnb.com/rooms/22403093?location=Chengdu%2C+Sichuan%2C+China,10,100
True,,2.0,30.668349603538914,70342606,1.0,1.0,"成都用心经营一个小窝,用爱心和善良做事,希望入住的人也有基本的为人做事的标准,期待您同我一样是一个善良的人。",10,1.0,May 2016,100%,22606689,42,10,104.04881761106782,36,37,within an hour,【77house】沉鱼落雁阁/独特新古风设计/宽窄巷子美食聚集天府广场人民公园市中心,琪,1,https://www.airbnb.com/rooms/22606689?location=Chengdu%2C+Sichuan%2C+China,10,100
True,5,3.0,30.67007720380132,35700750,1.0,1.0,"热爱旅行、家装、手工、烹饪、电影。希望通过自己的喜好,为您提供别致的住所,留下难忘的回忆。欢迎互相交流~",10,2.0,June 2015,100%,16198466,4349,10,104.04649399617095,38,15,within an hour,【木先森】宽窄巷子/双地铁/人民公园/锦里 微博:木先森成都民宿,Ying,1,https://www.airbnb.com/rooms/16198466?location=Chengdu%2C+Sichuan%2C+China,10,99
False,5,2.0,30.653386977584862,147005208,1.0,1.0,到处走走,10,1.0,August 2017,,20632760,232,10,104.07196958545302,26,22,,【温馨浪漫小窝】屋外花园/春熙路/天府广场/盐市口/双地铁太古里/武侯祠/锦里/宽窄巷子/熊猫基地,周,1,https://www.airbnb.com/rooms/20632760?location=Chengdu%2C+Sichuan%2C+China,10,100
True,5,2.0,30.65413766295678,83871898,1.0,1.0,,10,1.0,July 2016,100%,14022664,6814,10,104.08584316795434,76,21,within an hour,"藝净- 复古花,太古里旁高层花园电影套房",藝,1,https://www.airbnb.com/rooms/14022664?location=Chengdu%2C+Sichuan%2C+China,10,100
False,,3.0,30.68274965606815,146244197,1.0,1.0,"一名金融从业者,酷爱旅行和运动。我的好友ShunYi经营着N+Coffee”和一家CrossFit健身馆“CrossFit N Plus”。
N+集聚了一群有情怀,懂生活的青年人
17年初我们在聊及关于民宿的想法上一拍即合
于是N+民宿诞生了",10,1.0,August 2017,100%,22392703,187,10,104.04515539407188,32,22,within an hour,[N+民宿] 131 近宽窄巷子/春熙路/太古里/一环核心区/超棒新房,Arnold,1,https://www.airbnb.com/rooms/22392703?location=Chengdu%2C+Sichuan%2C+China,10,100
True,5,2.0,30.65413766295678,83871898,1.0,1.0,,10,1.0,July 2016,100%,14022664,6814,10,104.08584316795434,76,21,within an hour,"藝净- 复古花,太古里旁高层花园电影套房",藝,1,https://www.airbnb.com/rooms/14022664?location=Chengdu%2C+Sichuan%2C+China,10,100
True,5,2.0,30.65413766295678,83871898,1.0,1.0,,10,1.0,July 2016,100%,14022664,6814,10,104.08584316795434,76,21,within an hour,"藝净- 复古花,太古里旁高层花园电影套房",藝,1,https://www.airbnb.com/rooms/14022664?location=Chengdu%2C+Sichuan%2C+China,10,100
False,5,4.0,30.648015211503402,73718517,2.0,1.0,,10,2.0,May 2016,,22596419,187,10,104.09054476706858,44,15,,【海之影】❤️ 新房特惠/地铁2#东门大桥站河景两居/太古里背后/春熙路/IFS/市中心,小双,1,https://www.airbnb.com/rooms/22596419?location=Chengdu%2C+Sichuan%2C+China,10,96
False,,2.0,30.66374805497628,158546095,1.0,1.0,有生之年  欣喜相逢~,10,1.0,November 2017,100%,22403093,159,10,104.05049086590898,42,24,within an hour,新!【云  治】宽窄巷子地铁站/人民公园/市中心/武侯祠/天府广场/太古里/双地铁房,小婷婷妹儿,1,https://www.airbnb.com/rooms/22403093?location=Chengdu%2C+Sichuan%2C+China,10,100
True,5,3.0,30.67007720380132,35700750,1.0,1.0,"热爱旅行、家装、手工、烹饪、电影。希望通过自己的喜好,为您提供别致的住所,留下难忘的回忆。欢迎互相交流~",10,2.0,June 2015,100%,16198466,4349,10,104.04649399617095,38,15,within an hour,【木先森】宽窄巷子/双地铁/人民公园/锦里 微博:木先森成都民宿,Ying,1,https://www.airbnb.com/rooms/16198466?location=Chengdu%2C+Sichuan%2C+China,10,99
True,5,3.0,30.67007720380132,35700750,1.0,1.0,"热爱旅行、家装、手工、烹饪、电影。希望通过自己的喜好,为您提供别致的住所,留下难忘的回忆。欢迎互相交流~",10,2.0,June 2015,100%,16198466,4349,10,104.04649399617095,38,15,within an hour,【木先森】宽窄巷子/双地铁/人民公园/锦里 微博:木先森成都民宿,Ying,1,https://www.airbnb.com/rooms/16198466?location=Chengdu%2C+Sichuan%2C+China,10,99
