host_super,room_score,room_guest_num,room_lag,host_id,room_bedroom_num,room_bathroom_num,host_info,room_value_rating,room_bed_num,host_member_since,host_response_rate,room_hosting_id,room_saved_to_wishlist_count,room_location,room_lng,room_price,room_amenity_num,host_response_time,room_title,host_name,room_home_tier,room_url,room_communication,room_guest_satisfaction_overall
False,5,2.0,30.65001282906927,73110609,1.0,1.0,哈喽 ,10,1.0,May 2016,100%,19979829,216,10,104.08149867883894,60,31,within an hour,俯瞰春熙路太古里市中心高端品质住宅,樊,1,https://www.airbnb.com/rooms/19979829?location=Chengdu%2C%20Sichuan%2C%20China,10,97
True,5,2.0,30.65038832551232,144106872,1.0,1.0,"热爱旅游,热爱运动,热爱生活,热爱胡思乱想的男生,做自己喜欢的事,愿一直如此。如果你来成都,希望我们相遇,然后把我认为最好的成都带给你。趁年轻干嘛不做点自己想做的事呢!点击头像,有更多房源供您选择哦!",10,1.0,August 2017,100%,21073770,168,10,104.07886576669843,29,20,within an hour,Grink新春特惠/春熙路/太古里/ifs/楼下小龙坎/2、3号线双地铁/手搓麻将全体验/全景落地窗,Jing,1,https://www.airbnb.com/rooms/21073770?location=Chengdu%2C%20Sichuan%2C%20China,10,98
False,5,4.0,30.648606735215875,17821297,2.0,2.0,湖边的雪人   天边的云朵,10,2.0,July 2014,100%,16107546,1224,10,104.07567075823331,35,19,within an hour,【森系小洋楼】春熙路地铁口/双卫/美食中心,常一,1,https://www.airbnb.com/rooms/16107546?location=Chengdu%2C%20Sichuan%2C%20China,10,95
False,5,4.0,30.652019942790684,158905964,2.0,1.0,"主修建筑学辅修金融,最爱的长篇小说是源泉,所以我的名字来源于女主Dominica。被誉为海上建筑师的男主Roark为女主设计了一座靠海的房子,我为你们也精心设计了遍布成都大街小巷的优选民宿。希望大家都能在入住后感受到“一生一世一双人,半醉半醒半浮生”的成都生活~",10,2.0,November 2017,100%,22595818,96,10,104.08828532381304,53,14,within an hour,【土耳其的秘密】❤️ 新房特惠/地铁2#东门大桥异域两居/临博舍酒店/太古里背/IFS/春熙路/市中心,Dominica,1,https://www.airbnb.com/rooms/22595818?location=Chengdu%2C%20Sichuan%2C%20China,10,100
True,5,4.0,30.646011733292042,26781893,1.0,1.0,..,10,1.0,January 2015,100%,18171877,1060,10,104.08369511497878,44,17,within an hour,〖拾意〗Loft公寓带花园 近太古里 春熙路[City Center Loft Apartment],Janet,1,https://www.airbnb.com/rooms/18171877?location=Chengdu%2C%20Sichuan%2C%20China,10,99
False,,2.0,30.64970878410345,35214524,1.0,1.0,"90后/旅行者/getty签约摄影师
18岁开始独自背包旅行,曾独自驾游尼泊尔和土耳其等国家。而每一次的出发都让我洞察到了这个世界不同的切面,结交形形色色的朋友,享受到不同风情的美食。
2014年春在台湾旅居的时候我开始接触并对民宿文化产生了兴趣,所以决定在2017年初开始筹备ROOMOO民宿;无数个日夜的准备只希望每位来过roomoo的客人能从中感受到这座城市的温度和我们的眷注与体贴。
更希望能听到每一位远方的朋友旅途中可爱又好玩的趣事~",,1.0,June 2015,100%,22902977,27,,104.0804475308681,44,22,within an hour,减白-ROOMOO限时优惠/地铁2号线/纯白极简/舒适套一/兰桂坊/春熙路/太古里/九眼桥/,Yuwen,1,https://www.airbnb.com/rooms/22902977?location=Chengdu%2C%20Sichuan%2C%20China,,
False,4.5,2.0,30.65057847835644,103824812,1.0,1.0,"旅行,因为听到了内心的澎湃激荡。
喜欢旅行,也同样喜欢认识旅行中的你……",10,1.0,November 2016,100%,15981856,984,10,104.08665802825462,45,26,within an hour,曦小姐的天空之蓝阳光飘窗精品跃层公寓 春熙路/太古里/IFS/九眼桥,燕宏,1,https://www.airbnb.com/rooms/15981856?location=Chengdu%2C%20Sichuan%2C%20China,10,94
True,5,4.0,30.65956632757694,61029417,2.0,2.0,,10,2.0,March 2016,100%,22454468,19,10,104.07552603014108,122,19,within an hour,"心悦湾-东家新民宿,5分钟散步太古里,春熙路,市中心唯一全落地玻璃度假花园景观双卧双卫",小,1,https://www.airbnb.com/rooms/22454468?location=Chengdu%2C%20Sichuan%2C%20China,10,100
True,5,4.0,30.649305530505526,69147450,1.0,1.0,"Hi,我是鱼子酱,一名在川大读研的工科女,欢迎来到junglehouse。",10,2.0,April 2016,100%,13032600,1659,10,104.08512839609679,55,21,within an hour,【限时特价】[room2凉糕]loft/太古里/春熙路ifs/河景/地铁400m/点房东头像看其他房,鱼子酱,1,https://www.airbnb.com/rooms/13032600?location=Chengdu%2C%20Sichuan%2C%20China,10,98
True,5,4.0,30.65112660695595,155173608,2.0,1.0,"嗨!你好,我叫小熊是是一位已经退伍女兵,现在一名企业早九晚五的普通员工。欢迎你来到小熊家。",10,2.0,October 2017,100%,22783264,10,10,104.08626118179501,53,15,within an hour,【邂逅Ins】太古里/春熙路/IFS/九眼桥/宽窄巷子/锦里/武侯祠/地铁2.3号线/市中心交通便利,小熊,1,https://www.airbnb.com/rooms/22783264?location=Chengdu%2C%20Sichuan%2C%20China,10,100
